TRADEDATE,CLOSE
2023-01-03,140.18
2023-01-03,141.78
2023-01-04,140.16
2023-01-04,141.43
2023-01-05,140.08
2023-01-05,141.27
2023-01-06,140.28
2023-01-06,141.4
2023-01-09,141.1
2023-01-09,142.4
2023-01-10,141.13
2023-01-10,142.81
2023-01-11,148.05
2023-01-11,149.96
2023-01-12,148.0
2023-01-12,149.3
2023-01-13,152.32
2023-01-13,151.69
2023-01-16,151.81
2023-01-16,153.71
2023-01-17,152.13
2023-01-17,150.45
2023-01-18,152.25
2023-01-18,151.47
2023-01-19,152.0
2023-01-19,149.34
2023-01-20,151.6
2023-01-20,151.38
2023-01-23,153.0
2023-01-23,153.5
2023-01-24,153.74
2023-01-24,152.66
2023-01-25,152.77
2023-01-25,152.81
2023-01-26,154.25
2023-01-26,152.4
2023-01-27,153.0
2023-01-27,153.2
2023-01-30,153.45
2023-01-30,153.38
2023-01-31,155.22
2023-01-31,158.07
2023-02-01,158.67
2023-02-01,158.29
2023-02-02,161.24
2023-02-02,159.45
2023-02-03,161.76
2023-02-03,161.26
2023-02-06,166.89
2023-02-06,167.09
2023-02-07,164.9
2023-02-07,165.39
2023-02-08,163.26
2023-02-08,164.15
2023-02-09,165.97
2023-02-09,165.31
2023-02-10,166.25
2023-02-10,165.52
2023-02-13,164.68
2023-02-13,164.32
2023-02-14,161.0
2023-02-14,161.86
2023-02-15,156.05
2023-02-15,156.25
2023-02-16,157.99
2023-02-16,158.22
2023-02-17,159.9
2023-02-17,159.73
2023-02-20,158.0
2023-02-20,160.09
2023-02-21,160.58
2023-02-21,164.15
2023-02-22,163.99
2023-02-22,163.37
2023-02-24,163.99
2023-02-24,164.3
2023-02-27,165.27
2023-02-27,169.95
2023-02-28,168.01
2023-02-28,169.82
2023-03-01,170.17
2023-03-01,170.53
2023-03-02,169.49
2023-03-02,168.05
2023-03-03,172.6
2023-03-03,171.16
2023-03-06,169.51
2023-03-06,171.84
2023-03-07,174.49
2023-03-07,174.01
2023-03-09,172.09
2023-03-09,172.55
2023-03-10,172.99
2023-03-10,172.53
2023-03-13,173.61
2023-03-13,172.15
2023-03-14,175.0
2023-03-14,175.71
2023-03-15,175.35
2023-03-15,175.3
